天数,顺从度,顺从度增长
1211,63.029,0.03
1212,63.059000000000005,0.03
1213,63.089,0.03
1214,63.119,0.03
1215,63.149,0.03
1216,63.179,0.03
1217,63.209,0.03
1218,63.239000000000004,0.03
1219,63.269,0.03
1220,63.299,0.03
1221,63.329,0.03
1222,63.359,0.03
1223,63.389,0.03
1224,63.419000000000004,0.03
1225,63.449,0.03
1226,63.479,0.03
1227,63.509,0.03
1228,63.539,0.03
1229,63.569,0.03
1230,63.599000000000004,0.03
1231,63.629,0.03
1232,63.659,0.03
1233,63.689,0.03
1234,63.719,0.03
1235,63.749,0.03
1236,63.779,0.03
1237,63.809000000000005,0.03
1238,63.839,0.03
1239,63.869,0.029
1240,63.898,0.029
1241,63.927,0.029
1242,63.956,0.029
1243,63.985,0.029
1244,64.014,0.029
1245,64.043,0.029
1246,64.072,0.029
1247,64.101,0.029
1248,64.13,0.029
1249,64.159,0.029
1250,64.188,0.029
1251,64.217,0.029
1252,64.246,0.029
1253,64.275,0.029
1254,64.304,0.029
1255,64.333,0.029
1256,64.362,0.029
1257,64.391,0.029
1258,64.42,0.029
1259,64.449,0.029
1260,64.478,0.029
1261,64.507,0.029
1262,64.536,0.029
1263,64.565,0.029
1264,64.59400000000001,0.029
1265,64.623,0.029
1266,64.652,0.029
1267,64.681,0.029
1268,64.71000000000001,0.029
1269,64.739,0.029
1270,64.768,0.029
1271,64.797,0.029
1272,64.82600000000001,0.029
1273,64.855,0.029
1274,64.884,0.029
1275,64.913,0.029
1276,64.94200000000001,0.029
1277,64.971,0.029
1278,65.0,0.029
1279,65.029,0.029
1280,65.058,0.029
1281,65.087,0.028
1282,65.115,0.028
1283,65.143,0.028
1284,65.171,0.028
1285,65.199,0.028
1286,65.227,0.028
1287,65.255,0.028
1288,65.283,0.028
1289,65.311,0.028
1290,65.339,0.028
1291,65.367,0.028
1292,65.395,0.028
1293,65.423,0.028
1294,65.45100000000001,0.028
1295,65.479,0.028
1296,65.507,0.028
1297,65.535,0.028
1298,65.563,0.028
1299,65.59100000000001,0.028
1300,65.619,0.028
1301,65.647,0.028
1302,65.675,0.028
1303,65.703,0.028
1304,65.731,0.028
1305,65.759,0.028
1306,65.787,0.028
1307,65.815,0.028
1308,65.843,0.028
1309,65.871,0.028
1310,65.899,0.028
1311,65.927,0.028
1312,65.955,0.028
1313,65.983,0.028
1314,66.011,0.028
1315,66.039,0.028
1316,66.06700000000001,0.028
1317,66.095,0.028
1318,66.123,0.028
1319,66.151,0.028
1320,66.179,0.028
1321,66.20700000000001,0.028
1322,66.235,0.028
1323,66.263,0.028
1324,66.291,0.027
1325,66.318,0.027
1326,66.345,0.027
1327,66.372,0.027
1328,66.399,0.027
1329,66.426,0.027
1330,66.453,0.027
1331,66.48,0.027
1332,66.507,0.027
1333,66.534,0.027
1334,66.561,0.027
1335,66.58800000000001,0.027
1336,66.615,0.027
1337,66.642,0.027
1338,66.669,0.027
1339,66.696,0.027
1340,66.723,0.027
1341,66.75,0.027
1342,66.777,0.027
1343,66.804,0.027
1344,66.831,0.027
1345,66.858,0.027
1346,66.885,0.027
1347,66.912,0.027
1348,66.93900000000001,0.027
1349,66.96600000000001,0.027
1350,66.993,0.027
1351,67.02,0.027
1352,67.047,0.027
1353,67.074,0.027
1354,67.101,0.027
1355,67.128,0.027
1356,67.155,0.027
1357,67.182,0.027
1358,67.209,0.027
1359,67.236,0.027
1360,67.263,0.027
1361,67.29,0.027
1362,67.31700000000001,0.027
1363,67.34400000000001,0.027
1364,67.371,0.027
1365,67.398,0.027
1366,67.425,0.027
1367,67.452,0.027
1368,67.479,0.026000000000000002
1369,67.505,0.026000000000000002
1370,67.531,0.026000000000000002
1371,67.557,0.026000000000000002
1372,67.583,0.026000000000000002
1373,67.609,0.026000000000000002
1374,67.635,0.026000000000000002
1375,67.661,0.026000000000000002
1376,67.687,0.026000000000000002
1377,67.71300000000001,0.026000000000000002
1378,67.739,0.026000000000000002
1379,67.765,0.026000000000000002
1380,67.791,0.026000000000000002
1381,67.81700000000001,0.026000000000000002
1382,67.843,0.026000000000000002
1383,67.869,0.026000000000000002
1384,67.895,0.026000000000000002
1385,67.921,0.026000000000000002
1386,67.947,0.026000000000000002
1387,67.973,0.026000000000000002
1388,67.999,0.026000000000000002
1389,68.025,0.026000000000000002
1390,68.051,0.026000000000000002
1391,68.077,0.026000000000000002
1392,68.103,0.026000000000000002
1393,68.129,0.026000000000000002
1394,68.155,0.026000000000000002
1395,68.181,0.026000000000000002
1396,68.20700000000001,0.026000000000000002
1397,68.233,0.026000000000000002
1398,68.259,0.026000000000000002
1399,68.285,0.026000000000000002
1400,68.311,0.026000000000000002
1401,68.337,0.026000000000000002
1402,68.363,0.026000000000000002
1403,68.389,0.026000000000000002
1404,68.415,0.026000000000000002
1405,68.441,0.026000000000000002
1406,68.467,0.026000000000000002
1407,68.493,0.026000000000000002
1408,68.519,0.026000000000000002
1409,68.545,0.026000000000000002
1410,68.571,0.026000000000000002
1411,68.59700000000001,0.026000000000000002
1412,68.623,0.026000000000000002
1413,68.649,0.026000000000000002
1414,68.675,0.025
1415,68.7,0.025
1416,68.72500000000001,0.025
1417,68.75,0.025
1418,68.775,0.025
1419,68.8,0.025
1420,68.825,0.025
1421,68.85000000000001,0.025
1422,68.875,0.025
1423,68.9,0.025
1424,68.925,0.025
1425,68.95,0.025
1426,68.97500000000001,0.025
1427,69.0,0.025
1428,69.025,0.025
1429,69.05,0.025
1430,69.075,0.025
1431,69.10000000000001,0.025
1432,69.125,0.025
1433,69.15,0.025
1434,69.175,0.025
1435,69.2,0.025
1436,69.22500000000001,0.025
1437,69.25,0.025
1438,69.275,0.025
1439,69.3,0.025
1440,69.325,0.025
1441,69.35000000000001,0.025
1442,69.375,0.025
1443,69.4,0.025
1444,69.425,0.025
1445,69.45,0.025
1446,69.47500000000001,0.025
1447,69.5,0.025
1448,69.525,0.025
1449,69.55,0.025
1450,69.575,0.025
1451,69.60000000000001,0.025
1452,69.625,0.025
1453,69.65,0.025
1454,69.675,0.025
1455,69.7,0.025
1456,69.72500000000001,0.025
1457,69.75,0.025
1458,69.775,0.025
1459,69.8,0.025
1460,69.825,0.025
1461,69.85000000000001,0.025
1462,69.875,0.025
1463,69.9,0.024
1464,69.924,0.024
1465,69.94800000000001,0.024
1466,69.97200000000001,0.024
1467,69.996,0.024
1468,70.02,0.024
1469,70.044,0.024
1470,70.068,0.024
1471,70.092,0.024
1472,70.116,0.024
1473,70.14,0.024
1474,70.164,0.024
1475,70.188,0.024
1476,70.212,0.024
1477,70.236,0.024
1478,70.26,0.024
1479,70.284,0.024
1480,70.308,0.024
1481,70.33200000000001,0.024
1482,70.356,0.024
1483,70.38,0.024
1484,70.404,0.024
1485,70.428,0.024
1486,70.452,0.024
1487,70.476,0.024
1488,70.5,0.024
1489,70.524,0.024
1490,70.548,0.024
1491,70.572,0.024
1492,70.596,0.024
1493,70.62,0.024
1494,70.644,0.024
1495,70.668,0.024
1496,70.69200000000001,0.024
1497,70.71600000000001,0.024
1498,70.74,0.024
1499,70.764,0.024
1500,70.788,0.024
1501,70.812,0.024
1502,70.836,0.024
1503,70.86,0.024
1504,70.884,0.024
1505,70.908,0.024
1506,70.932,0.024
1507,70.956,0.024
1508,70.98,0.024
1509,71.004,0.024
1510,71.028,0.024
1511,71.052,0.024
1512,71.07600000000001,0.024
1513,71.10000000000001,0.023
1514,71.123,0.023
1515,71.146,0.023
1516,71.169,0.023
1517,71.19200000000001,0.023
1518,71.215,0.023
1519,71.238,0.023
1520,71.261,0.023
1521,71.284,0.023
1522,71.307,0.023
1523,71.33,0.023
1524,71.353,0.023
1525,71.376,0.023
1526,71.399,0.023
1527,71.422,0.023
1528,71.44500000000001,0.023
1529,71.468,0.023
1530,71.491,0.023
1531,71.514,0.023
1532,71.537,0.023
1533,71.56,0.023
1534,71.583,0.023
1535,71.606,0.023
1536,71.629,0.023
1537,71.652,0.023
1538,71.675,0.023
1539,71.69800000000001,0.023
1540,71.721,0.023
1541,71.744,0.023
1542,71.767,0.023
1543,71.79,0.023
1544,71.813,0.023
1545,71.836,0.023
1546,71.859,0.023
1547,71.882,0.023
1548,71.905,0.023
1549,71.928,0.023
1550,71.95100000000001,0.023
1551,71.974,0.023
1552,71.997,0.023
1553,72.02,0.023
1554,72.043,0.023
1555,72.066,0.023
1556,72.089,0.023
1557,72.112,0.023
1558,72.135,0.023
1559,72.158,0.023
1560,72.181,0.023
1561,72.20400000000001,0.023
1562,72.227,0.023
1563,72.25,0.023
1564,72.273,0.023
1565,72.296,0.022
1566,72.318,0.022
1567,72.34,0.022
1568,72.362,0.022
1569,72.384,0.022
1570,72.406,0.022
1571,72.428,0.022
1572,72.45,0.022
1573,72.47200000000001,0.022
1574,72.494,0.022
1575,72.516,0.022
1576,72.538,0.022
1577,72.56,0.022
1578,72.58200000000001,0.022
1579,72.604,0.022
1580,72.626,0.022
1581,72.648,0.022
1582,72.67,0.022
1583,72.69200000000001,0.022
1584,72.714,0.022
1585,72.736,0.022
1586,72.758,0.022
1587,72.78,0.022
1588,72.802,0.022
1589,72.824,0.022
1590,72.846,0.022
1591,72.868,0.022
1592,72.89,0.022
1593,72.912,0.022
1594,72.934,0.022
1595,72.956,0.022
1596,72.978,0.022
1597,73.0,0.022
1598,73.022,0.022
1599,73.044,0.022
1600,73.066,0.022
1601,73.08800000000001,0.022
1602,73.11,0.022
1603,73.132,0.022
1604,73.154,0.022
1605,73.176,0.022
1606,73.19800000000001,0.022
1607,73.22,0.022
1608,73.242,0.022
1609,73.264,0.022
1610,73.286,0.022
1611,73.308,0.022
1612,73.33,0.022
1613,73.352,0.022
1614,73.374,0.022
1615,73.396,0.022
1616,73.418,0.022
1617,73.44,0.022
1618,73.462,0.022
1619,73.484,0.022
1620,73.506,0.021
1621,73.527,0.021
1622,73.548,0.021
1623,73.569,0.021
1624,73.59,0.021
1625,73.611,0.021
1626,73.632,0.021
1627,73.653,0.021
1628,73.674,0.021
1629,73.69500000000001,0.021
1630,73.71600000000001,0.021
1631,73.737,0.021
1632,73.758,0.021
1633,73.779,0.021
1634,73.8,0.021
1635,73.821,0.021
1636,73.842,0.021
1637,73.863,0.021
1638,73.884,0.021
1639,73.905,0.021
1640,73.926,0.021
1641,73.947,0.021
1642,73.968,0.021
1643,73.989,0.021
1644,74.01,0.021
1645,74.031,0.021
1646,74.052,0.021
1647,74.07300000000001,0.021
1648,74.09400000000001,0.021
1649,74.115,0.021
1650,74.136,0.021
1651,74.157,0.021
1652,74.178,0.021
1653,74.199,0.021
1654,74.22,0.021
1655,74.241,0.021
1656,74.262,0.021
1657,74.283,0.021
1658,74.304,0.021
1659,74.325,0.021
1660,74.346,0.021
1661,74.367,0.021
1662,74.388,0.021
1663,74.409,0.021
1664,74.43,0.021
1665,74.45100000000001,0.021
1666,74.47200000000001,0.021
1667,74.493,0.021
1668,74.514,0.021
1669,74.535,0.021
1670,74.556,0.021
1671,74.577,0.021
1672,74.598,0.021
1673,74.619,0.021
1674,74.64,0.021
1675,74.661,0.021
1676,74.682,0.021
1677,74.703,0.02
1678,74.723,0.02
1679,74.743,0.02
1680,74.763,0.02
1681,74.783,0.02
1682,74.803,0.02
1683,74.82300000000001,0.02
1684,74.843,0.02
1685,74.863,0.02
1686,74.883,0.02
1687,74.903,0.02
1688,74.923,0.02
1689,74.943,0.02
1690,74.96300000000001,0.02
1691,74.983,0.02
1692,75.003,0.02
1693,75.023,0.02
1694,75.043,0.02
1695,75.063,0.02
1696,75.083,0.02
1697,75.10300000000001,0.02
1698,75.123,0.02
1699,75.143,0.02
1700,75.163,0.02
1701,75.183,0.02
1702,75.203,0.02
1703,75.223,0.02
1704,75.243,0.02
1705,75.263,0.02
1706,75.283,0.02
1707,75.303,0.02
1708,75.32300000000001,0.02
1709,75.343,0.02
1710,75.363,0.02
1711,75.383,0.02
1712,75.403,0.02
1713,75.423,0.02
1714,75.443,0.02
1715,75.46300000000001,0.02
1716,75.483,0.02
1717,75.503,0.02
1718,75.523,0.02
1719,75.543,0.02
1720,75.563,0.02
1721,75.583,0.02
1722,75.60300000000001,0.02
1723,75.623,0.02
1724,75.643,0.02
1725,75.663,0.02
1726,75.683,0.02
1727,75.703,0.02
1728,75.723,0.02
1729,75.743,0.02
1730,75.763,0.02
1731,75.783,0.02
1732,75.803,0.02
1733,75.82300000000001,0.02
1734,75.843,0.02
1735,75.863,0.02
1736,75.883,0.02
1737,75.903,0.02
1738,75.923,0.019
1739,75.94200000000001,0.019
1740,75.961,0.019
1741,75.98,0.019
1742,75.999,0.019
1743,76.018,0.019
1744,76.037,0.019
1745,76.056,0.019
1746,76.075,0.019
1747,76.09400000000001,0.019
1748,76.113,0.019
1749,76.132,0.019
1750,76.151,0.019
1751,76.17,0.019
1752,76.18900000000001,0.019
1753,76.208,0.019
1754,76.227,0.019
1755,76.246,0.019
1756,76.265,0.019
1757,76.284,0.019
1758,76.303,0.019
1759,76.322,0.019
1760,76.34100000000001,0.019
1761,76.36,0.019
1762,76.379,0.019
1763,76.398,0.019
1764,76.417,0.019
1765,76.436,0.019
1766,76.455,0.019
1767,76.474,0.019
1768,76.493,0.019
1769,76.512,0.019
1770,76.531,0.019
1771,76.55,0.019
1772,76.569,0.019
1773,76.58800000000001,0.019
1774,76.607,0.019
1775,76.626,0.019
1776,76.645,0.019
1777,76.664,0.019
1778,76.683,0.019
1779,76.702,0.019
1780,76.721,0.019
1781,76.74,0.019
1782,76.759,0.019
1783,76.778,0.019
1784,76.797,0.019
1785,76.816,0.019
1786,76.83500000000001,0.019
1787,76.854,0.019
1788,76.873,0.019
1789,76.892,0.019
1790,76.911,0.019
1791,76.93,0.019
1792,76.949,0.019
1793,76.968,0.019
1794,76.987,0.019
1795,77.006,0.019
1796,77.025,0.019
1797,77.044,0.019
1798,77.063,0.019
1799,77.08200000000001,0.019
1800,77.101,0.019
1801,77.12,0.018000000000000002
1802,77.138,0.018000000000000002
1803,77.156,0.018000000000000002
1804,77.174,0.018000000000000002
1805,77.19200000000001,0.018000000000000002
1806,77.21000000000001,0.018000000000000002
1807,77.22800000000001,0.018000000000000002
1808,77.246,0.018000000000000002
1809,77.264,0.018000000000000002
1810,77.282,0.018000000000000002
1811,77.3,0.018000000000000002
1812,77.318,0.018000000000000002
1813,77.336,0.018000000000000002
1814,77.354,0.018000000000000002
1815,77.372,0.018000000000000002
1816,77.39,0.018000000000000002
1817,77.408,0.018000000000000002
1818,77.426,0.018000000000000002
1819,77.444,0.018000000000000002
1820,77.462,0.018000000000000002
1821,77.48,0.018000000000000002
1822,77.498,0.018000000000000002
1823,77.516,0.018000000000000002
1824,77.534,0.018000000000000002
1825,77.552,0.018000000000000002
1826,77.57000000000001,0.018000000000000002
1827,77.58800000000001,0.018000000000000002
1828,77.606,0.018000000000000002
1829,77.624,0.018000000000000002
1830,77.642,0.018000000000000002
1831,77.66,0.018000000000000002
1832,77.678,0.018000000000000002
1833,77.696,0.018000000000000002
1834,77.714,0.018000000000000002
1835,77.732,0.018000000000000002
1836,77.75,0.018000000000000002
1837,77.768,0.018000000000000002
1838,77.786,0.018000000000000002
1839,77.804,0.018000000000000002
1840,77.822,0.018000000000000002
1841,77.84,0.018000000000000002
1842,77.858,0.018000000000000002
1843,77.876,0.018000000000000002
1844,77.894,0.018000000000000002
1845,77.912,0.018000000000000002
1846,77.93,0.018000000000000002
1847,77.94800000000001,0.018000000000000002
1848,77.96600000000001,0.018000000000000002
1849,77.984,0.018000000000000002
1850,78.002,0.018000000000000002
1851,78.02,0.018000000000000002
1852,78.038,0.018000000000000002
1853,78.056,0.018000000000000002
1854,78.074,0.018000000000000002
1855,78.092,0.018000000000000002
1856,78.11,0.018000000000000002
1857,78.128,0.018000000000000002
1858,78.146,0.018000000000000002
1859,78.164,0.018000000000000002
1860,78.182,0.018000000000000002
1861,78.2,0.018000000000000002
1862,78.218,0.018000000000000002
1863,78.236,0.018000000000000002
1864,78.254,0.018000000000000002
1865,78.272,0.018000000000000002
1866,78.29,0.018000000000000002
1867,78.308,0.018000000000000002
1868,78.32600000000001,0.017
1869,78.343,0.017
1870,78.36,0.017
1871,78.377,0.017
1872,78.394,0.017
1873,78.411,0.017
1874,78.428,0.017
1875,78.44500000000001,0.017
1876,78.462,0.017
1877,78.479,0.017
1878,78.496,0.017
1879,78.513,0.017
1880,78.53,0.017
1881,78.547,0.017
1882,78.56400000000001,0.017
1883,78.581,0.017
1884,78.598,0.017
1885,78.615,0.017
1886,78.632,0.017
1887,78.649,0.017
1888,78.666,0.017
1889,78.683,0.017
1890,78.7,0.017
1891,78.717,0.017
1892,78.734,0.017
1893,78.751,0.017
1894,78.768,0.017
1895,78.785,0.017
1896,78.802,0.017
1897,78.819,0.017
1898,78.836,0.017
1899,78.85300000000001,0.017
1900,78.87,0.017
1901,78.887,0.017
1902,78.904,0.017
1903,78.921,0.017
1904,78.938,0.017
1905,78.955,0.017
1906,78.97200000000001,0.017
1907,78.989,0.017
1908,79.006,0.017
1909,79.023,0.017
1910,79.04,0.017
1911,79.057,0.017
1912,79.074,0.017
1913,79.09100000000001,0.017
1914,79.108,0.017
1915,79.125,0.017
1916,79.142,0.017
1917,79.159,0.017
1918,79.176,0.017
1919,79.193,0.017
1920,79.21000000000001,0.017
1921,79.227,0.017
1922,79.244,0.017
1923,79.261,0.017
1924,79.278,0.017
1925,79.295,0.017
1926,79.312,0.017
1927,79.32900000000001,0.017
1928,79.346,0.017
1929,79.363,0.017
1930,79.38,0.017
1931,79.397,0.017
1932,79.414,0.017
1933,79.431,0.017
1934,79.44800000000001,0.017
1935,79.465,0.017
1936,79.482,0.017
1937,79.499,0.017
1938,79.516,0.017
1939,79.533,0.016
1940,79.549,0.016
1941,79.565,0.016
1942,79.581,0.016
1943,79.59700000000001,0.016
1944,79.613,0.016
1945,79.629,0.016
1946,79.645,0.016
1947,79.661,0.016
1948,79.677,0.016
1949,79.693,0.016
1950,79.709,0.016
1951,79.72500000000001,0.016
1952,79.741,0.016
1953,79.757,0.016
1954,79.773,0.016
1955,79.789,0.016
1956,79.805,0.016
1957,79.821,0.016
1958,79.837,0.016
1959,79.85300000000001,0.016
1960,79.869,0.016
1961,79.885,0.016
1962,79.901,0.016
1963,79.917,0.016
1964,79.933,0.016
1965,79.949,0.016
1966,79.965,0.016
1967,79.98100000000001,0.016
1968,79.997,0.016
1969,80.013,0.016
1970,80.029,0.016
1971,80.045,0.016
1972,80.061,0.016
1973,80.077,0.016
1974,80.093,0.016
1975,80.109,0.016
1976,80.125,0.016
1977,80.141,0.016
1978,80.157,0.016
1979,80.173,0.016
1980,80.18900000000001,0.016
1981,80.205,0.016
1982,80.221,0.016
1983,80.237,0.016
1984,80.253,0.016
1985,80.269,0.016
1986,80.285,0.016
1987,80.301,0.016
1988,80.31700000000001,0.016
1989,80.333,0.016
1990,80.349,0.016
1991,80.365,0.016
1992,80.381,0.016
1993,80.397,0.016
1994,80.413,0.016
1995,80.429,0.016
1996,80.44500000000001,0.016
1997,80.461,0.016
1998,80.477,0.016
1999,80.493,0.016
2000,80.509,0.016
2001,80.525,0.016
2002,80.541,0.016
2003,80.557,0.016
2004,80.57300000000001,0.016
2005,80.589,0.016
2006,80.605,0.016
2007,80.621,0.016
2008,80.637,0.016
2009,80.653,0.016
2010,80.669,0.016
2011,80.685,0.016
2012,80.70100000000001,0.016
2013,80.717,0.016
2014,80.733,0.015
2015,80.748,0.015
2016,80.763,0.015
2017,80.778,0.015
2018,80.793,0.015
2019,80.808,0.015
2020,80.82300000000001,0.015
2021,80.83800000000001,0.015
2022,80.85300000000001,0.015
2023,80.868,0.015
2024,80.883,0.015
2025,80.898,0.015
2026,80.913,0.015
2027,80.928,0.015
2028,80.943,0.015
2029,80.958,0.015
2030,80.973,0.015
2031,80.988,0.015
2032,81.003,0.015
2033,81.018,0.015
2034,81.033,0.015
2035,81.048,0.015
2036,81.063,0.015
2037,81.078,0.015
2038,81.093,0.015
2039,81.108,0.015
2040,81.123,0.015
2041,81.138,0.015
2042,81.153,0.015
2043,81.168,0.015
2044,81.183,0.015
2045,81.19800000000001,0.015
2046,81.21300000000001,0.015
2047,81.22800000000001,0.015
2048,81.243,0.015
2049,81.258,0.015
2050,81.273,0.015
2051,81.288,0.015
2052,81.303,0.015
2053,81.318,0.015
2054,81.333,0.015
2055,81.348,0.015
2056,81.363,0.015
2057,81.378,0.015
2058,81.393,0.015
2059,81.408,0.015
2060,81.423,0.015
2061,81.438,0.015
2062,81.453,0.015
2063,81.468,0.015
2064,81.483,0.015
2065,81.498,0.015
2066,81.513,0.015
2067,81.528,0.015
2068,81.543,0.015
2069,81.558,0.015
2070,81.57300000000001,0.015
2071,81.58800000000001,0.015
2072,81.60300000000001,0.015
2073,81.618,0.015
2074,81.633,0.015
2075,81.648,0.015
2076,81.663,0.015
2077,81.678,0.015
2078,81.693,0.015
2079,81.708,0.015
2080,81.723,0.015
2081,81.738,0.015
2082,81.753,0.015
2083,81.768,0.015
2084,81.783,0.015
2085,81.798,0.015
2086,81.813,0.015
2087,81.828,0.015
2088,81.843,0.015
2089,81.858,0.015
2090,81.873,0.015
2091,81.888,0.015
2092,81.903,0.015
2093,81.918,0.015
2094,81.933,0.014
2095,81.947,0.014
2096,81.961,0.014
2097,81.97500000000001,0.014
2098,81.989,0.014
2099,82.003,0.014
2100,82.017,0.014
2101,82.031,0.014
2102,82.045,0.014
2103,82.059,0.014
2104,82.07300000000001,0.014
2105,82.087,0.014
2106,82.101,0.014
2107,82.115,0.014
2108,82.129,0.014
2109,82.143,0.014
2110,82.157,0.014
2111,82.171,0.014
2112,82.185,0.014
2113,82.199,0.014
2114,82.21300000000001,0.014
2115,82.227,0.014
2116,82.241,0.014
2117,82.255,0.014
2118,82.269,0.014
2119,82.283,0.014
2120,82.297,0.014
2121,82.311,0.014
2122,82.325,0.014
2123,82.339,0.014
2124,82.35300000000001,0.014
2125,82.367,0.014
2126,82.381,0.014
2127,82.395,0.014
2128,82.409,0.014
2129,82.423,0.014
2130,82.437,0.014
2131,82.45100000000001,0.014
2132,82.465,0.014
2133,82.479,0.014
2134,82.493,0.014
2135,82.507,0.014
2136,82.521,0.014
2137,82.535,0.014
2138,82.549,0.014
2139,82.563,0.014
2140,82.577,0.014
2141,82.59100000000001,0.014
2142,82.605,0.014
2143,82.619,0.014
2144,82.633,0.014
2145,82.647,0.014
2146,82.661,0.014
2147,82.675,0.014
2148,82.68900000000001,0.014
2149,82.703,0.014
2150,82.717,0.014
2151,82.73100000000001,0.014
2152,82.745,0.014
2153,82.759,0.014
2154,82.773,0.014
2155,82.787,0.014
2156,82.801,0.014
2157,82.815,0.014
2158,82.82900000000001,0.014
2159,82.843,0.014
2160,82.857,0.014
2161,82.871,0.014
2162,82.885,0.014
2163,82.899,0.014
2164,82.913,0.014
2165,82.927,0.014
2166,82.941,0.014
2167,82.955,0.014
2168,82.96900000000001,0.014
2169,82.983,0.014
2170,82.997,0.014
2171,83.011,0.014
2172,83.025,0.014
2173,83.039,0.014
2174,83.053,0.014
2175,83.06700000000001,0.014
2176,83.081,0.014
2177,83.095,0.014
2178,83.109,0.014
2179,83.123,0.014
2180,83.137,0.013000000000000001
2181,83.15,0.013000000000000001
2182,83.163,0.013000000000000001
2183,83.176,0.013000000000000001
2184,83.18900000000001,0.013000000000000001
2185,83.202,0.013000000000000001
2186,83.215,0.013000000000000001
2187,83.22800000000001,0.013000000000000001
2188,83.241,0.013000000000000001
2189,83.254,0.013000000000000001
2190,83.267,0.013000000000000001
2191,83.28,0.013000000000000001
2192,83.293,0.013000000000000001
2193,83.306,0.013000000000000001
2194,83.319,0.013000000000000001
2195,83.33200000000001,0.013000000000000001
2196,83.345,0.013000000000000001
2197,83.358,0.013000000000000001
2198,83.371,0.013000000000000001
2199,83.384,0.013000000000000001
2200,83.397,0.013000000000000001
2201,83.41,0.013000000000000001
2202,83.423,0.013000000000000001
2203,83.436,0.013000000000000001
2204,83.449,0.013000000000000001
2205,83.462,0.013000000000000001
2206,83.47500000000001,0.013000000000000001
2207,83.488,0.013000000000000001
2208,83.501,0.013000000000000001
2209,83.514,0.013000000000000001
2210,83.527,0.013000000000000001
2211,83.54,0.013000000000000001
2212,83.553,0.013000000000000001
2213,83.566,0.013000000000000001
2214,83.57900000000001,0.013000000000000001
2215,83.592,0.013000000000000001
2216,83.605,0.013000000000000001
2217,83.618,0.013000000000000001
2218,83.631,0.013000000000000001
2219,83.644,0.013000000000000001
2220,83.657,0.013000000000000001
2221,83.67,0.013000000000000001
2222,83.683,0.013000000000000001
2223,83.696,0.013000000000000001
2224,83.709,0.013000000000000001
2225,83.72200000000001,0.013000000000000001
2226,83.735,0.013000000000000001
2227,83.748,0.013000000000000001
2228,83.761,0.013000000000000001
2229,83.774,0.013000000000000001
2230,83.787,0.013000000000000001
2231,83.8,0.013000000000000001
2232,83.813,0.013000000000000001
2233,83.82600000000001,0.013000000000000001
2234,83.839,0.013000000000000001
2235,83.852,0.013000000000000001
2236,83.865,0.013000000000000001
2237,83.878,0.013000000000000001
2238,83.891,0.013000000000000001
2239,83.904,0.013000000000000001
2240,83.917,0.013000000000000001
2241,83.93,0.013000000000000001
2242,83.943,0.013000000000000001
2243,83.956,0.013000000000000001
2244,83.96900000000001,0.013000000000000001
2245,83.982,0.013000000000000001
2246,83.995,0.013000000000000001
2247,84.008,0.013000000000000001
2248,84.021,0.013000000000000001
2249,84.034,0.013000000000000001
2250,84.047,0.013000000000000001
2251,84.06,0.013000000000000001
2252,84.07300000000001,0.013000000000000001
2253,84.086,0.013000000000000001
2254,84.099,0.013000000000000001
2255,84.112,0.013000000000000001
2256,84.125,0.013000000000000001
2257,84.138,0.013000000000000001
2258,84.151,0.013000000000000001
2259,84.164,0.013000000000000001
2260,84.177,0.013000000000000001
2261,84.19,0.013000000000000001
2262,84.203,0.013000000000000001
2263,84.21600000000001,0.013000000000000001
2264,84.229,0.013000000000000001
2265,84.242,0.013000000000000001
2266,84.255,0.013000000000000001
2267,84.268,0.013000000000000001
2268,84.281,0.013000000000000001
2269,84.294,0.013000000000000001
2270,84.307,0.013000000000000001
2271,84.32000000000001,0.013000000000000001
2272,84.333,0.013000000000000001
2273,84.346,0.012
2274,84.358,0.012
2275,84.37,0.012
2276,84.382,0.012
2277,84.394,0.012
2278,84.406,0.012
2279,84.418,0.012
2280,84.43,0.012
2281,84.44200000000001,0.012
2282,84.45400000000001,0.012
2283,84.46600000000001,0.012
2284,84.47800000000001,0.012
2285,84.49,0.012
2286,84.502,0.012
2287,84.514,0.012
2288,84.526,0.012
2289,84.538,0.012
2290,84.55,0.012
2291,84.562,0.012
2292,84.574,0.012
2293,84.586,0.012
2294,84.598,0.012
2295,84.61,0.012
2296,84.622,0.012
2297,84.634,0.012
2298,84.646,0.012
2299,84.658,0.012
2300,84.67,0.012
2301,84.682,0.012
2302,84.694,0.012
2303,84.706,0.012
2304,84.718,0.012
2305,84.73,0.012
2306,84.742,0.012
2307,84.754,0.012
2308,84.766,0.012
2309,84.778,0.012
2310,84.79,0.012
2311,84.802,0.012
2312,84.81400000000001,0.012
2313,84.82600000000001,0.012
2314,84.83800000000001,0.012
2315,84.85000000000001,0.012
2316,84.862,0.012
2317,84.874,0.012
2318,84.886,0.012
2319,84.898,0.012
2320,84.91,0.012
2321,84.922,0.012
2322,84.934,0.012
2323,84.946,0.012
2324,84.958,0.012
2325,84.97,0.012
2326,84.982,0.012
2327,84.994,0.012
2328,85.006,0.012
2329,85.018,0.012
2330,85.03,0.012
2331,85.042,0.012
2332,85.054,0.012
2333,85.066,0.012
2334,85.078,0.012
2335,85.09,0.012
2336,85.102,0.012
2337,85.114,0.012
2338,85.126,0.012
2339,85.138,0.012
